text,sentiment
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,neg
أنا نفس الشيء أصبحت اليوم لم تعمل عندي أي قناة بين سبورت لا مفتوحة ولا إخبارية لكن مسحت كل شيء ودخلت تردد جديد ودخلت,neu
أنتم نهايتكم ستكون مأساوية أكيد لأنكم بايعتم مدينة رسول الله مقابل أن يحكمكم ديكتاتوري وسجنتم عدد كبير من العلماء وقتلتم الصحفيين والان فتحتم السعودية للمغنيين والراقصات,neg
وأنت أيها السعودي البغل الحمير إدفعوا لترامب مقابل حمايتكم لم تقدروا على حمايتكم من قبل مجموعة من المليشيات الحوثية واستعينتم بالتحالف لقتل الأطفال اليمنيين,neg
ثانيا البربر أمازيغي أشرف من دبابكم ونحن لانطالب أحد أن يحمينا كما فعلتم أنتم عند ما باعتم كل جزركم مقابل الحماية,neg
أخي معتز نريد منك أن تسلط الضوء على معاناة,neg
الإيرانيون يقولون لكم الحمد لله على نعمة جزيرة أبو موسى,pos
لاحول ولا قوة إلابالله العلي العظيم اللهم أرحمها رحمة واسعة ونسأل الله أن يأخد الحق في كل هؤلاء المجرمين,neg
ربما العلمي هو من أعطى لك الأمر,neu
إقرأ مادا قال عنكم كوهين هده حقيقتكم,neu
أتمنى من كل قلبي أن يضربكم زلزل مدمر إن شاء الله,neg
المغاربة في هده الأيام,neu
ثلاثة أسابيع كافية ليخرج الرئيس ويتحدث عن عدد من الإجراءات لحركة الاحتجاج أما نخن في المغرب عدد السينيين ونحن نحتج ولم يسمعنا أحد زيادة على عدد كبير من الزيادات الصاروخية في الأسعار,neg
شوف ليك وحدة ودير حتى نتا شي دويرة فباريس,pos
إذا كان لديك مثل هذا الخائن الكبير في البلد ماعليك إلا أن ترحل,neg
هالعار اسعادة رئيس إلى ماهضر معه إفتحنا الحدود غير شي يومين,neu
وقفت اليوم في سطوب مع المغرب وقالي بوليسي شعل الضو قلت ليه لا قالي علاش قلت لو العثماني قاليك حفضو على الطاقة رد عليا بوليسي قالي العثماني حمق,neu
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,neu
شكرا لك على مساعدتي في الوصول إلى متابعا من تظن أيضا أنه ينبغي له متابعتي,pos
ربما العثماني لم يرشيء,neu
قالك دابا طلقو شي فضاء كيراقب تحركات البوليساريو في الداخل والخارج,neu
الشمايت د الحكومة,neg
أنثم من أثر عليكم حليب البعير ياصهاينة العرب,neg
والله أنتم عالم تضحكون على أنفسكم,neg
العالم لديه حجة على نضامكم القمعي لولا أبو ايفانكا الدي يبتزكم بتصريحاته ولعلمك أنا لست ضد الشعب السعودي ولكن ضد سياسات المسؤولين المتهورة,neu
قناتكم معروفة ورئيسكم باعكم لأمريكان مقابل الحكم وعلمائكم في السجون,neu
قناة العربية تستحمر الشعوب,neg
بقيتي فيا السي جمال على نتائج الملكي,neu
ناقصكم غير يتيم,neu
المغاربة يريدون فتح تحقيق في الحادثة ومحاسبة كل المتورطين,neu
لعنة الله على الخسيس المجرم,neg
هكدا يتكلم أشباه الوزراء في المغرب,neg
قنوات العار والفساد المغربية,neg
العصابات الديكتاتورية,neg
قالت تبا للبحر هو المسؤول عن شبابنا,neg
نتمنى السي رئيس حكومتكم إسقاط حكومتكم في أقرب الاجال وتقبلو مروري وشكرا,neg
الغرب كان يقتل المسلمين مباشرة واليوم يستخدم أشباه المسلمين لقتل ماتبقى من امسلمين,neu
مسلسل جديد من الصراع والتصريحات النارية بين ءال عيوش وءال الحدوشي وجماعته,neu
حسبنا الله ونعم الوكيل في كل طاغية,neg
ساعة لله,neu
المخزن والتراكتور وجهان لعملة واحدة,neu
وزارة الأوقاف في المغرب تشبه ماتفعلها نضيرتها السعودية كل من يقول كلمة الحق إلا واجهوه بالإيقاف أو السجن,neu
القضاء الفرنسي شبيه بقضاء دول العربية ةلديكتاتورية,neu
صباح الخير من تمزيرت,pos
شكون غايخدم معكم المراسلين من المغرب حيت كلشي غايشدوه لتجنيد الإخباري عفوا الإجباري,neg
هل السعودية دولة متى تم التصويت على دستورها أين مؤسساتها المنتخبة السعودية ليست دولة ولا ينطبق عليها مفهوم الدولة هي مجرد قبيلة وينطبق عليها مفهوم القبيلة اكثر من مفهوم الدولة كما تم التأصيل لها في الفلسفة السياسية وكما هو متواضع عليه في العلوم السياسية,neg
مرض التفكير ليس له علاج حتى ولو استطعت أن تنام ستحلم بما تفكر به,neg
كان يغرر بالمغرر بهم ورفع شعارات محاربة الريع ومارس دغمجة على الجميع بعبارات التماسيح والعفاريت لكنه هو الريع في أبهى تجلياته,neg
أحييكم عاليا والله إلا انتم اشخاص تضحون بوقتكم وجهودكم وكل ما تملكون لنشر البسمة على وجوه أبناء هذا الوطن,pos
تحياتي العالية لكم جميعا,pos
للمرة العاشرة أشعر باهانة شديدة حين اقرأ كانط وهيجل إذ احتار بين كوني غبيا أو جاهلا,neg
أنا البطل الذي يموت في الصفحة الأولي كلاوديو بوتساني,neg
في نظري تصرفه غير لائق تماما,neg
لابأس أكيد ستمر كسابقاتها أكيد ستمر,pos
هذه ليلة من تلك الليالي التي لم انم فيها من فرط التفكير,neg
التعادل فهاد الظروف وفالكامبنو راه فوز عريض,pos
أودي راه كنشجع مدريد,pos
تعادل بطعم الإنتصار,pos
الله ارحمو ووسع عليه,pos
العلاقة جدلية لو لم يكن الجهل لما كان الاستبداد ولو لم يكن الاستبداد ماكان الجهل بقدر ماتصنع الشعوب اصنامها بقدر ماتساهم هذه الأصنام في ترسيخ التبعية والجهل,neu
المهم هو الروح الرياضية سواء فازت ريال مدريد أو انهزمت برشلونة,neu
أنا لا أعطي أهمية كبيرة لذلك الشيء الذي يسمى الأكل,neu
أنا في الحقيقة كنت احاول أن اشرح لها الفكرة ببساطة ولا أقصد الانتقاص من حجم الفلسفة طبعا من الصعب أن تشرح نظرة سيوران للحياة والوجود وغياب المعنى وعبثية الحياة الأمر يحتاج للكثير,pos
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها,neg
يقول سيوران أنا أستقيل من الانسانية لم أعد أريد أن أكون ولم أعد قادرا على أن أكون انسانا أنا إنسان يزعجه كل شيء أريد عدم الازعاج عدم الاهتمام بي أجهد كي أجعل الآخرين لا يعيرونني أي إنتباه,neu
من ضمن الكتب التي قرأتها لايمكنني تحديد كتاب بعينه كلها كان لها تأثير علي حتى الكتب الرديئة منها علمتني كيف يكتب السيئون,neu
الكتاب دائما إذا قرأت ولو صفحة واحدة فهذا أفضل من لاشيء,pos
الله اعطيك الصحة اخويا زهير,pos
هناك فرق كبير بين أن تمتلك فكرا وأن يمتلكك فكر,pos
حتى هما زوينين,pos
اولئك الذين يحبون الشاي مثلي يمكننا الاعتماد عليهم,pos
تم تعطيل الكومبيوتر الياباني بهاكرز ثلاثي قطري حقيقة من الصعب توقع فوز قطر باللقب,neu
عجيب هدش,neu
ارجو له الشفاء العاجل يارب,pos
ومفهمتهاش واش مبقيناش من دول عدم الانحياز,neu
المهم ليس الحفظ بالنسبة لي ولا أريد متعلما يحفظ المعلومات ليقوم بارجاعها لي يوم الامتحان أريد من يفهم الإشكالية الفلسفية ولديه قدرات على التحليل العقلاني والنقد البناء ولابأس إن كان مشاغبا,pos
والجانب المشرق سيكون لدي تلاميذ عباقرة,pos
شكرا ارجو لك كل التوفيق أيضا,pos
شكرا لك على كل شيء,pos
ستكتمل إن شاء الله بفضلكم ونحن بدورنا نقوم بمجهودتنا,pos
شكرا لهلة اخطيك,pos
وقد بلغنا الأمانة إلى مكانها الثانوية التأهيلية الجديدة ارفود شكرا لكم جميعا,pos
وقد وصلت إلى مكانها وشكرا لكم جميعا,pos
هذا الصباح توصلنا من السيد مشكور جدا على مجهوداته الخاصة شخص رفقة مجموعة من الاشخاص عرفناهم هنا معروفون بنكران الذات تحية لهم جميعا وغبرهم شكرا للجميع لكل من ساهم في انجاح هذه الفكرة المشروع شكرا وشكرا وصولا للتقدير والاحترام,pos
أنا مسؤول عما أكتب وانت مسؤول عما تفهم ولست مسؤولا عما تشم خصوصا إذا كنت تقرأ بأنفك,neu
الحفظ يركز على جانب واحد وقدرة واحدة من قدرات الدماغ وهو اثارة الذاكرة وتخزين الكلام فيها وهو الغاء للتحليل والفهم والتدبر والاستدلال وهي قدرات أساسية أيضا فعل الحفظ مفصول عن الفهم ومفصول عن فعل القراءة مع احترامي للجميع طبعا أنا قلت وجهة نظر والفكرة تناقش والرأي يحترم,neu
صباح الورد لأطيب ناس,pos
لنحاول المساعدة على تدفئة أطفال صغار يواجهون قساوة الطقس والمناخ باجسادهم الضعيفة,neg
وهذا لا يسمى مجتمع مدني ولا يستحق ان يسمى مجتمع مدني المشكل هو غياب ثقافة العمل الجمعوي والمجتمع المدني,neg
المعروف أن المجتمع المدني هو من يراقب السلطة السياسية داخل جميع المجتمعات لكن في المجتمع المغربي المجتمع المدني تابع للسلطة السياسية وعليه فهو عوض أن يكون وسيلة مراقبة وحماية للمواطن ضد استبداد الحكومة والسلطة اصبح يساهم في اخضاع المواطن,neg
أن تكذب لصالح نفسك فهذا مستحيل وأن تكذب لصالح الغير فهذا تدليس وأن تكذب قصد إلحاق الأذى بالغير فهذا افتراء وهذا هو اسوء أنواع الكذب جون جاك روسو من كتاب تاريخ الكذب جاك دريدا ص,neu
المشكلة كأس آسيا وقالك حتى هو ممنقولش مجانا عشنا وشفنا الهند ضد قرغيزسستان حصريا,neu
تزوح إن كانت زوجتك جيدة أصبحت سعيدا وإن كانت زوجتك سيئة اصبحت فيلسوفا سقراط,neu
كل عام وانتما بألف خير,pos
أنا شخص سيء الحظ وأنت أسوأ مني على ما أعتقد,neg
فعلا لكن مستواه أكبر من ان بفهمه التلاميذ يمكن فرضه في الجامعة,neu
توصلنا في هذه اللحظة بمجموعة من الكتب المهمة من طرف السيد مشكور على مساعدته ومساهمته وعبره الشكر موصول للجميع ولكل تويتوما شكرا لكم وصولا للتقدير و الإحترام,pos
مودتي لكم جميعا وشكرا استاذ ياسر معرفتكم شرف,pos
راه تأخرنا حتى جمع كلشي فمرة ورسلهم,neu
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير,pos
صباح الورد عليكم في هذه اللحظة في هذا الصباح توصلت الثانوية بمجموعة من الكتب التي تم جمعها على مستوى الدار البيضاء والنواحي فشكرا للصديق وعبره شكرا لكل ما ساهم في هذه المكتبة,pos
مساء الورد مدخل نقدي تأسيسي,pos
لا تصدق كل ماتقوله الحكومة,neu
الله اسخر السي عادل,pos
إن أبلغ درس يتعلمه الإنسان من الحياة هو أنه ليس هناك ألم لايستطيع المرء أن يتخلص منه بعد فترة معقولة من الزمن أو أن يصادقه ويتعايش معه أو يحيله الي أنس وسعادة بشيء من سعة الأفق وعمق البصيرة والنظرة الشاملة للحياة التي تري كل مافيها من جوانب طاغور,neu
انتحر لأنه تعب من الحياة فقالت له لو كنت تقدرني ما انتحرت أحيانا نسيء لمن نحب بإيذاء أنفسنا,neg
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,pos
شكرا جزيلا لك اكيد سيعجبونهم وسيساهمون في اغناء المكتبة وستعم الفائدة كل من مر بالثانوية,pos
كل عام وانت سعيد وجميل باختلافك,pos
ارجو لك كل السعادة والحب والسلام,pos
ارجو لك كلها سعادة وبتحقيق كل النجاحات,pos
انت استاذة في الإنسانية كل شخص استاذ في شيء ما هذه الصفة ليست مرتبطة بمجال معين,pos
ستكون بخير ارجو لها الشفاء العاجل,pos
سنة سعيدة لك استاذتي أيضأ,pos
كل عام وانت بخير وسعادة دائمة,pos
شكرا جزيلا لك نحن سعداء بدعمكم,pos
عندما ننصت جيدا نكتشف جمال الطبيعة و إبداعها,pos
ارجو لك الشفاء العاجل يارب,pos
بالتوفيق لك,pos
وانا اعتذر بدوري كل التقدير,pos
اذا مر يناير والليفر في الصدارة معناه اللقب قريب من اللقب,pos
الفيديو صحيح للأسف,neg
أنت من جئت لصفحتي لتناقشني وبعد ذلك تقول لا أستطيع أن أناقش أنت تعيش تناقض ذهني,neu
لا يجب السكوت عن كل ذلك لكن ما حدث عظيم,pos
من يقول ذلك الكلام فهو يحاول تبرير العنف والإرهاب والعنف والإرهاب لا يمكن تبريره,neu
لا شيء قابل للفهم مع مثل اولئك,neu
انصرنا يامولانا,pos
إذا كان الفيديو صحيح فهو أكبر من عمل ارهابي,neg
لا أقصد ذلك بل يجب الحسم معهم وأي شخص ينشر منشور في مواقع التواصل فيه نزعة عنيفة وتحرض على قتل الآخر يجب تجريمه,neg
واحد الصديق ديالي وراني الفيديو ندمت اللي شفت هديك البشاعة والله اخويا الا كرهت تسدات ليا الشهية,neg
هل الفيديو المتداول صحيح أي نوع من البشر اولئك,neg
تحياتي لكما في بعض الأحيان نحن نخطئ في حق أمهاتنا فقط عندما نخطئ في حق انفسنا,pos
لا تنحني لأحد لا تعتذر عما فعلت إلا لأمك سواء كانت على قيد الحياة أو غادر جسدها وبقيت روحها ترفرف عليك,pos
لا لم يسبق أن شعرت بالقلق من اي تغريدة,neu
هذا الشخص جميع منشوراته متطرفة وفعلا أنا شخصيا لن اقبل أن يدرس عنده إبني,neg
عيد ميلاد سعيد وكل عام وانت بالف خير,pos
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا,pos
عندما تجد رغبة مثل هذه تشعر بفرح غريب صدقوني هذا الشعب يستحق حكومة افضل ويستحق تعليم أفضل ويستحق صحة افضل,pos
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,pos
مرحبا أكيد لنبقى على تواصل,pos
وعمرك تقدم تهديد منين تكون غضبان ومقلق,neu
ارجو ان ننجح في تأسيس مكتبة بالثانوية وأكيد سننجح بفضل هؤلاء الناس الطيبين,pos
شكرا لك يا صاحب العقل الكبير,pos
عظيم شكرا لكم,pos
اودي متديش فبالك أنا أيضا لم استفد من الحركة لا السنة الماضية ولا هذه السنة بعد مدة سيزول هذا الغضب الإنسان كائن يتعود,neu
واحد الصفر اشجعهم كمغاربة,pos
أكيد غادي توصل,pos
انا أيضا اضع العلم المغربي لكن ليس بذلك القصد اتذكر كنت وضعته في كأس العالم الماضية ولم أغيره نسيت فقط تغييره,neu
متفقدش الأمل صديقي راه المستقبل افضل اكيد,pos
المشكلة هي أن المراة تتهم المراة وتظهر الرجل كضحية,neu
الفعل اللي قام به عجرفة,neg
السي أنس هذا ما نريد تجاوزه أن نكون مغاربة فقط أن نعترف باختلافنا وأن يحترم كل منا خصوصية الأخر وأن يحل الوطن محل العرق أو او الأمازيغي على راسنا والعربي على راسنا في إطار أننا نشكل شعب واحد,neu
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,pos
شكرا لك أستاذ على المساهمة الرائعة,pos
تحياتي وكلنا نحب بعضنا نحن ابناء وطن واحد,pos
شكرا خديجة,pos
الله اعطيه الجنة,pos
شكرا جزيلا أستاذ,pos
تفهم الأشياء وفق عواطفها وليس وفق عقلها دائما يحاولون فهم الأشياء كما يريدون وينظرون لها وفق منظارهم وهذا إحدى وظائف الايديولوجيا وهي التشويه بمعنى محاولة قلب الواقع,neg
الله ارحمها يارب,pos
السياسيين عندنا عندهم هوايات حيوانية إجرامية مثل السرقة والنصب والقتل,neg
مؤلم والله مؤلم جدا,neg
فعلا هناك مثل اسباني يقول لا تعتذر عما فعلت لكن لا تقم بفعله مرة أخرى,neu
شكرا شكرا في الحقيقة أنت من تستحقين ملايين التحايا,pos
مبروك للرجاء البيضاوي في انتظار جلب الكأس من قلب افريقيا,pos
كل التوفيق لرجاء الشعب اليوم في نهائي الكنفدرالية,pos
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,pos
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,pos
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,pos
تحياتي لك ونرجو لك الشفاء العاجل أكيد,pos
فيديو عظيم تحياتي بهاد الطريقة بامكانك تتخصص في فلسفة العلوم خصوصا فلسفة الرياضيات,pos
ممكن تعطينا المدينة لكي نحدد من بامكانه تسلمها منك وشكرا جزيلا,pos
والله حتى شكرا لكم جميعا تحية لولاد الشعب,pos
شكرا لك ايمان كالعادة لا تتأخر عن مساعدة اي شخص يحتاج للمساعدة وتدعم مكتبة الثانوية التأهيلية الجديدة بارفود بمجموعة من الكتب القيمة شكرا لك ايمان والشكر موصول عبرك للجميع,pos
والشكر لكم ولكل من ساهم من قريب او من بعيد ولكل من سيساهم في نشر المعرفة في اي مكان في العالم الفكرة تنجح بفضلكم,pos
شكرا جزيلا لك أكيد سيكون ذلك,pos
لواه اذا كان من يستحق الشكر فهو انتم,pos
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,pos
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة,pos
الشكر لك ربيعة مع كامل الإحترام والتقدير ونعتذر على التأخر في الرد,pos
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,pos
اللحظة تاريخية أول انتصار للمنتخب المغربي على المنتخب الكاميروني,pos
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,pos
أرجو ان تجدي نفسك في هذا العمل الجديد,pos
إن قلبي يسلم عليك,pos
أنا لا أكتب لأرضي أحد واتفق معك,neu
نهاية المباراة بفوز الترجي مبروك الترجي فاز اداءا ونتيجة,pos
مسكين فقد حياته وعائلته مكلومة لفقدانها ابنها الصغير يجب وقف هذا العبث,neg
متافق معاك لكن هدا راه اعتماد للتوقيت العادي بطريقة دبلوماسية,neu
توقيت مناسب شكرا,pos
شكرا شكرا انه لمن دواعي سروري أن احظى بتهنئة خاصة منك ارجو لك أيضأ سنة سعيدة كلها افراح ومسرات,pos
شكرا ايها الطيب وارجو لك كل الخير والسعادة في حياتك,pos
هي قادرة على احتضان الشعب الجزائري والشعب المغربي مرة واحدة ارجو لها كل التوفيق,pos
جميل جدا كل ماقلته ارجو لك السعادة صديقي حسن فخر لي ان تكون صديقي,pos
الشرف كل الشرف لي بصداقتك,pos
بصحتك رد بالك راه مزال فيها شهرين,pos
أنا هنا لتجاوز ماقدمه الآخرين وليس للتقليد او التكرار,neu
الحب ينتزع ولا يعطى,neu
المشاكل التي أعيشها كفيلة بأن تنسف معنويات فيل أو ديناصور,neg
هذا الشخص يجعلني أشعر بقيمة الإنسان وعظمة الإنسان,pos
رأي الناس فيك لايهم المهم هو رأيك انت حول نفسك,neu
إذا لم ينجح في اقناعها فهو ليس ملحد حقا واذا لم تنجح في اقناعه فهي ليست مؤمنة وإذا لم يتنازل أحدهم فليس هناك حب,neu
اما ان يجعلها ملحدة اما أن تجعله مؤمن,neu
انا متفق مع الفكرة فكروا في هاشتاغ مناسب لها مثل فضح المتحرش ويجب نشر كل الرسائل مثل تلك فيه وهكذا,neu
قاومي ولا تستسلمي,pos
راك عزيزة وغالية والله,pos
غاية الحكمة أن يتقبل المرء نفسه كقدر وأن لا يرغب في أن يرى نفسه شيئا آخر,neu
مع كل مشكل جديد لايكون العالم هو نفسهولاتكون أنت الشخص نفسه,neu
إذا أراد أحد أن يكون مهما فعليه أن يحترم ظله,neu
الأحكام التي صدرت في حق المعتقلين تحتقر الشعب في الحقيقه,neg
كأس العالم بدون المغرب وألمانيا ليس كأس عالم,neg
أحكام جائرة لا نقاش حول هذه القضية,neu
الحقيقة إنها أصعب فترة في حياتي,neg
منتخبنا الوطني في كلمة واحدة فرض على العالم الرياضي احترامه,pos
شكرا للمنتخب الوطني فرجتونا,pos
اعتقد أنك بحاجة ماسة لزيارة أقرب طبيب نفساني انت حالة نفسية مرضية,neg
هذا دليل كافي على حجم تخلف وعدم تحضر المجتمع السعودي آخر دولة في العالم تسمح المرأة بقيادة السيارة,neg
الحمد لله شكرا للرب على متابعتي في تويتر شيء عظيم لا يصدق هذه ليلة مباركة,pos
غالبا لا أفضل الدخول في جدال مع أمثالك لكن ليس هناك دولة ترعى الشر وغارقة في الفساد أكثر من السعودية في العالم والسعودية هي الدولة الأقل شفافية والأقل ديمقراطية في العالم قبيلة تحكم مجموعة من القبائل هذا هو النظام السياسي في السعودية,neg
انتم من صوت لأمريكا وأطلق فكرة العداء,neg
تغريدة تعكس قسوة العيش في المغرب,neg
